,input.source,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,SimCo,SimCo_exit_status,Autfilt,Autfilt_exit_status,Seminator,Seminator_exit_status,Kofola,Kofola_exit_status,SimCo+,SimCo+_exit_status
78,data/automata/practice/practice_automata.hoa:258267.1-258305.7,6,14,16,16,2,14,0,0,0,34.0,ok,14.0,ok,7.0,ok,7.0,ok,28.0,ok
79,data/automata/practice/practice_automata.hoa:314585.1-314628.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
80,data/automata/practice/practice_automata.hoa:314629.1-362427.7,5,9160,38630,46427,2,3019,2111,1,0,,timeout,22313.0,ok,14808.0,ok,19604.0,ok,,timeout
81,data/automata/practice/practice_automata.hoa:362428.1-362449.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
82,data/automata/practice/practice_automata.hoa:362450.1-362471.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
83,data/automata/practice/practice_automata.hoa:362472.1-362597.7,2,21,96,96,2,8,9,1,0,2567.0,ok,52.0,ok,9.0,ok,28.0,ok,221.0,ok
84,data/automata/practice/practice_automata.hoa:362598.1-362692.7,4,16,70,72,2,10,12,1,0,111.0,ok,8.0,ok,7.0,ok,6.0,ok,42.0,ok
85,data/automata/practice/practice_automata.hoa:362693.1-363092.7,3,129,262,262,2,53,31,1,0,1145.0,ok,89.0,ok,60.0,ok,61.0,ok,447.0,ok
86,data/automata/practice/practice_automata.hoa:363093.1-363116.7,1,5,10,11,2,5,3,1,0,29.0,ok,4.0,ok,3.0,ok,4.0,ok,13.0,ok
87,data/automata/practice/practice_automata.hoa:363117.1-364001.7,3,147,729,790,4,141,130,1,0,858.0,ok,18.0,ok,15.0,ok,20.0,ok,236.0,ok
88,data/automata/practice/practice_automata.hoa:364002.1-366450.7,2,795,1645,1645,2,304,262,1,0,6462.0,ok,789.0,ok,472.0,ok,447.0,ok,1466.0,ok
89,data/automata/practice/practice_automata.hoa:366451.1-366477.7,2,5,13,13,2,4,4,1,0,42.0,ok,4.0,ok,3.0,ok,3.0,ok,17.0,ok
90,data/automata/practice/practice_automata.hoa:366478.1-366553.7,3,31,36,36,2,29,5,1,0,54.0,ok,9.0,ok,9.0,ok,9.0,ok,46.0,ok
91,data/automata/practice/practice_automata.hoa:366554.1-367177.7,3,113,502,754,3,28,38,1,0,4086.0,ok,185.0,ok,96.0,ok,56.0,ok,963.0,ok
92,data/automata/practice/practice_automata.hoa:367178.1-367233.7,2,17,30,66,2,5,0,0,0,61.0,ok,26.0,ok,9.0,ok,9.0,ok,39.0,ok
93,data/automata/practice/practice_automata.hoa:367234.1-374768.7,6,470,7056,9411,2,96,269,1,0,3155.0,ok,157.0,ok,157.0,ok,157.0,ok,795.0,ok
94,data/automata/practice/practice_automata.hoa:374769.1-374812.7,3,9,26,32,2,6,5,1,0,55.0,ok,6.0,ok,5.0,ok,6.0,ok,28.0,ok
95,data/automata/practice/practice_automata.hoa:374813.1-382781.7,3,2076,5884,5884,3,1003,1239,1,0,7760.0,ok,805.0,ok,362.0,ok,952.0,ok,1620.0,ok
96,data/automata/practice/practice_automata.hoa:382782.1-396165.7,4,2525,10850,15823,2,1063,1518,1,0,,timeout,4237.0,ok,2499.0,ok,2776.0,ok,18725.0,ok
97,data/automata/practice/practice_automata.hoa:396166.1-396246.7,2,28,44,55,2,23,1,1,0,95.0,ok,29.0,ok,26.0,ok,29.0,ok,71.0,ok
98,data/automata/practice/practice_automata.hoa:396247.1-396401.7,4,22,124,161,2,16,17,1,0,218.0,ok,6.0,ok,5.0,ok,4.0,ok,60.0,ok
99,data/automata/practice/practice_automata.hoa:396402.1-396423.7,2,4,9,16,2,4,3,1,0,79.0,ok,4.0,ok,1.0,ok,2.0,ok,18.0,ok
100,data/automata/practice/practice_automata.hoa:396424.1-397542.7,3,310,800,1139,2,76,80,1,0,4208.0,ok,192.0,ok,108.0,ok,120.0,ok,1154.0,ok
101,data/automata/practice/practice_automata.hoa:397543.1-400102.7,3,544,2007,2064,2,314,346,1,0,1345.0,ok,64.0,ok,62.0,ok,63.0,ok,928.0,ok
102,data/automata/practice/practice_automata.hoa:400103.1-404744.7,5,728,3905,5655,4,173,439,1,0,,timeout,1015.0,ok,454.0,ok,566.0,ok,4425.0,ok
103,data/automata/practice/practice_automata.hoa:404745.1-404862.7,1,34,75,76,2,34,21,1,0,82.0,ok,17.0,ok,17.0,ok,17.0,ok,63.0,ok
