input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating
data/automata/random/FINLESS.hoa:1805.1-1838.7,,6,9,17,17,6,5,1,1,0,Seminator,ok,0,0.00656154,6,12,28,520,1,2,2,1,0
data/automata/random/FINLESS.hoa:1805.1-1838.7,,6,9,17,17,6,5,1,1,0,Autfilt,ok,0,0.00388784,6,14,30,522,1,6,4,1,0
data/automata/random/FINLESS.hoa:2349.1-2377.7,,6,7,14,14,4,3,3,1,0,SimCo,ok,0,6.15463,6,297,25472,25472,3,136,101,1,0
data/automata/random/FINLESS.hoa:2349.1-2377.7,,6,7,14,14,4,3,3,1,0,SimCo+,ok,0,1.19947,6,53,213,4672,1,14,20,1,0
data/automata/random/FINLESS.hoa:2349.1-2377.7,,6,7,14,14,4,3,3,1,0,Kofola,ok,0,0.00556468,6,23,78,1483,1,4,8,1,0
data/automata/random/FINLESS.hoa:2349.1-2377.7,,6,7,14,14,4,3,3,1,0,Seminator,ok,0,0.0122382,6,19,51,846,1,5,4,1,0
data/automata/random/FINLESS.hoa:2349.1-2377.7,,6,7,14,14,4,3,3,1,0,Autfilt,ok,0,0.00438751,6,23,63,797,1,4,7,1,0
data/automata/random/FINLESS.hoa:3014.1-3064.7,,6,15,28,28,4,4,2,1,0,SimCo,ok,0,44.9253,6,1540,117248,117248,4,885,292,1,0
data/automata/random/FINLESS.hoa:3014.1-3064.7,,6,15,28,28,4,4,2,1,0,SimCo+,ok,0,2.82842,6,81,320,7232,1,27,32,1,0
data/automata/random/FINLESS.hoa:3014.1-3064.7,,6,15,28,28,4,4,2,1,0,Kofola,ok,0,0.00505853,6,16,47,1029,1,3,5,1,0
data/automata/random/FINLESS.hoa:3014.1-3064.7,,6,15,28,28,4,4,2,1,0,Seminator,ok,0,0.0103725,6,14,36,650,1,5,3,1,0
data/automata/random/FINLESS.hoa:3014.1-3064.7,,6,15,28,28,4,4,2,1,0,Autfilt,ok,0,0.00356578,6,16,39,715,1,3,2,1,0
data/automata/random/FINLESS.hoa:3356.1-3371.7,,6,3,5,5,4,2,0,0,0,SimCo,ok,0,0.487045,6,60,5376,5376,2,39,24,1,0
data/automata/random/FINLESS.hoa:3356.1-3371.7,,6,3,5,5,4,2,0,0,0,SimCo+,ok,0,0.11082,6,8,27,768,1,6,4,1,0
data/automata/random/FINLESS.hoa:3356.1-3371.7,,6,3,5,5,4,2,0,0,0,Kofola,ok,0,0.00374443,6,2,3,128,1,2,0,0,0
data/automata/random/FINLESS.hoa:3356.1-3371.7,,6,3,5,5,4,2,0,0,0,Seminator,ok,0,0.00397111,6,2,3,128,1,2,0,0,0
data/automata/random/FINLESS.hoa:3356.1-3371.7,,6,3,5,5,4,2,0,0,0,Autfilt,ok,0,0.0029467,6,4,9,256,1,3,0,0,0
data/automata/random/FINLESS.hoa:3835.1-3887.7,,6,16,29,29,4,5,4,1,0,SimCo,ok,0,6.84628,6,240,19584,19584,3,85,66,1,0
data/automata/random/FINLESS.hoa:3835.1-3887.7,,6,16,29,29,4,5,4,1,0,SimCo+,ok,0,1.02835,6,37,121,3328,1,13,15,1,0
data/automata/random/FINLESS.hoa:3835.1-3887.7,,6,16,29,29,4,5,4,1,0,Kofola,ok,0,0.00541809,6,8,18,512,1,2,0,0,0
data/automata/random/FINLESS.hoa:3835.1-3887.7,,6,16,29,29,4,5,4,1,0,Seminator,ok,0,0.00703548,6,7,16,448,1,2,0,0,0
data/automata/random/FINLESS.hoa:3835.1-3887.7,,6,16,29,29,4,5,4,1,0,Autfilt,ok,0,0.00392295,6,10,22,640,1,4,0,0,0
data/automata/random/FINLESS.hoa:3888.1-3959.7,,6,20,44,44,6,6,2,1,0,SimCo,ok,0,295.596,6,7842,638336,638336,4,3457,2132,1,0
data/automata/random/FINLESS.hoa:3888.1-3959.7,,6,20,44,44,6,6,2,1,0,SimCo+,ok,0,8.97658,6,221,1119,19584,1,72,85,1,0
data/automata/random/FINLESS.hoa:3888.1-3959.7,,6,20,44,44,6,6,2,1,0,Kofola,ok,0,0.00649734,6,34,129,2185,1,8,11,1,0
data/automata/random/FINLESS.hoa:3888.1-3959.7,,6,20,44,44,6,6,2,1,0,Seminator,ok,0,0.0356667,6,48,157,1129,1,14,23,1,0
data/automata/random/FINLESS.hoa:3888.1-3959.7,,6,20,44,44,6,6,2,1,0,Autfilt,ok,0,0.00462481,6,36,118,1511,1,8,7,1,0
data/automata/random/FINLESS.hoa:3960.1-3995.7,,6,10,18,18,3,2,3,1,0,SimCo,ok,0,5.04131,6,391,31872,31872,2,132,107,1,0
