input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating
data/automata/practice/practice_automata.hoa:652914.1-665782.7,,5,1789,11071,13649,5,524,1282,1,0,Autfilt,ok,0,0.333188,5,2051,19121,50013,1,529,392,1,0
data/automata/practice/practice_automata.hoa:2891123.1-3201855.7,,5,43362,267362,287998,5,13303,20013,1,0,Kofola,ok,0,15.1364,5,98828,1072503,3351625,1,2598,87620,1,0
data/automata/practice/practice_automata.hoa:2891123.1-3201855.7,,5,43362,267362,287998,5,13303,20013,1,0,Autfilt,ok,0,3.13832,5,81021,604076,1645854,1,25864,20578,1,0
data/automata/practice/practice_automata.hoa:482188.1-574292.7,,5,10822,81274,90102,5,3825,8440,1,0,SaGE,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:482188.1-574292.7,,5,10822,81274,90102,5,3825,8440,1,0,SaGE+,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:652914.1-665782.7,,5,1789,11071,13649,5,524,1282,1,0,SaGE,timeout,-1,300.001,,,,,,,,,
data/automata/practice/practice_automata.hoa:2891123.1-3201855.7,,5,43362,267362,287998,5,13303,20013,1,0,SaGE,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:2891123.1-3201855.7,,5,43362,267362,287998,5,13303,20013,1,0,SaGE+,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:2891123.1-3201855.7,,5,43362,267362,287998,5,13303,20013,1,0,Seminator,timeout,-1,300,,,,,,,,,
data/automata/practice/practice_automata.hoa:3362603.1-3672725.7,,8,24145,285970,4523295,4,6948,12237,1,0,SaGE+,exit code,1,1.05414,,,,,,,,,
data/automata/practice/practice_automata.hoa:1.1-8843.7,,3,1933,6901,7393,4,550,925,1,0,SaGE,ok,0,145.119,3,34484,397240,397240,1,8108,15171,1,0
data/automata/practice/practice_automata.hoa:1.1-8843.7,,3,1933,6901,7393,4,550,925,1,0,SaGE+,ok,0,20.0158,3,4249,30731,49984,1,1258,1999,1,0
data/automata/practice/practice_automata.hoa:1.1-8843.7,,3,1933,6901,7393,4,550,925,1,0,Kofola,ok,0,0.320773,3,247,1143,2054,1,48,77,1,0
data/automata/practice/practice_automata.hoa:1.1-8843.7,,3,1933,6901,7393,4,550,925,1,0,Seminator,ok,0,0.541631,3,183,643,1145,1,33,32,1,0
data/automata/practice/practice_automata.hoa:1.1-8843.7,,3,1933,6901,7393,4,550,925,1,0,Autfilt,ok,0,0.14178,3,424,1618,2708,1,139,75,1,0
data/automata/practice/practice_automata.hoa:194474.1-203316.7,,3,1933,6901,7393,4,550,925,1,0,SaGE,ok,0,143.056,3,34484,397240,397240,1,8108,15171,1,0
data/automata/practice/practice_automata.hoa:194474.1-203316.7,,3,1933,6901,7393,4,550,925,1,0,SaGE+,ok,0,18.7944,3,4249,30731,49984,1,1258,1999,1,0
data/automata/practice/practice_automata.hoa:194474.1-203316.7,,3,1933,6901,7393,4,550,925,1,0,Kofola,ok,0,0.28562,3,247,1143,2054,1,48,77,1,0
data/automata/practice/practice_automata.hoa:194474.1-203316.7,,3,1933,6901,7393,4,550,925,1,0,Seminator,ok,0,0.503425,3,183,643,1145,1,33,32,1,0
data/automata/practice/practice_automata.hoa:194474.1-203316.7,,3,1933,6901,7393,4,550,925,1,0,Autfilt,ok,0,0.119831,3,424,1618,2708,1,139,75,1,0
data/automata/practice/practice_automata.hoa:244173.1-245813.7,,3,244,1388,1388,4,130,148,1,0,SaGE,ok,0,109.59,3,15275,171032,171032,1,7297,6104,1,0
data/automata/practice/practice_automata.hoa:244173.1-245813.7,,3,244,1388,1388,4,130,148,1,0,SaGE+,ok,0,4.12894,3,720,5203,8344,1,141,323,1,0
data/automata/practice/practice_automata.hoa:244173.1-245813.7,,3,244,1388,1388,4,130,148,1,0,Kofola,ok,0,0.0119076,3,29,142,233,2,2,4,1,0
data/automata/practice/practice_automata.hoa:244173.1-245813.7,,3,244,1388,1388,4,130,148,1,0,Seminator,ok,0,0.143271,3,106,522,802,1,13,46,1,0
data/automata/practice/practice_automata.hoa:244173.1-245813.7,,3,244,1388,1388,4,130,148,1,0,Autfilt,ok,0,0.00898419,3,47,215,306,1,5,14,1,0
data/automata/practice/practice_automata.hoa:290517.1-292157.7,,3,244,1388,1388,4,130,148,1,0,SaGE,ok,0,111.216,3,15275,171032,171032,1,7297,6104,1,0
data/automata/practice/practice_automata.hoa:290517.1-292157.7,,3,244,1388,1388,4,130,148,1,0,SaGE+,ok,0,4.14924,3,720,5203,8344,1,141,323,1,0
data/automata/practice/practice_automata.hoa:290517.1-292157.7,,3,244,1388,1388,4,130,148,1,0,Kofola,ok,0,0.0107928,3,29,142,233,2,2,4,1,0
data/automata/practice/practice_automata.hoa:290517.1-292157.7,,3,244,1388,1388,4,130,148,1,0,Seminator,ok,0,0.139925,3,106,522,802,1,13,46,1,0
